X-acc;Y-acc;Z-acc;label
-60;21;4156;idle
-61;14;4159;idle
-54;13;4149;idle
-61;12;4160;idle
-60;16;4160;idle
-62;13;4156;idle
-70;11;4149;idle
-63;17;4158;idle
-64;15;4149;idle
-51;11;4156;idle
-70;8;4154;idle
-62;10;4153;idle
-51;13;4157;idle
-53;16;4158;idle
-54;12;4149;idle
X-acc;Y-acc;Z-acc;label
-61;16;4162;idle
-62;11;4156;idle
-68;10;4151;idle
-66;13;4158;idle
-61;14;4156;idle
-54;15;4147;idle
-63;15;4151;idle
-55;18;4160;idle
-63;9;4151;idle
-57;7;4146;idle
-63;18;4151;idle
-65;16;4161;idle
-56;9;4160;idle
-65;9;4144;idle
-58;22;4149;idle
-61;20;4155;idle
-53;14;4157;idle
-59;13;4150;idle
-61;18;4155;idle
-54;15;4157;idle
-54;22;4151;idle
-55;8;4163;idle
-54;12;4158;idle
-56;19;4152;idle
-58;5;4157;idle
-50;12;4157;idle
-57;21;4153;idle
-54;14;4161;idle
-59;16;4144;idle
-61;7;4159;idle
-54;12;4164;idle
-63;4;4157;idle
-64;18;4152;idle
-58;18;4164;idle
-63;20;4155;idle
-66;8;4155;idle
-57;10;4149;idle
-64;9;4152;idle
-52;14;4152;idle
-57;15;4155;idle
-63;16;4157;idle
-62;12;4155;idle
-66;4;4156;idle
-63;8;4147;idle
-48;1;4164;idle
-55;10;4147;idle
-55;22;4145;idle
-58;19;4180;idle
-62;22;4157;idle
-71;12;4154;idle
-66;-3;4153;idle
-61;10;4151;idle
-54;30;4149;idle
-53;20;4158;idle
-57;22;4153;idle
-65;14;4158;idle
-55;4;4154;idle
-62;1;4154;idle
-48;13;4156;idle
-66;15;4156;idle
-51;22;4161;idle
-49;18;4152;idle
-67;9;4150;idle
-62;9;4156;idle
-68;4;4154;idle
-56;12;4157;idle
-55;26;4156;idle
-57;19;4164;idle
-62;12;4157;idle
-63;9;4153;idle
-63;6;4156;idle
-63;10;4151;idle
-56;11;4152;idle
-58;14;4161;idle
-58;12;4155;idle
-63;12;4149;idle
-69;6;4146;idle
-66;11;4149;idle
-70;18;4152;idle
-65;9;4152;idle
-54;23;4148;idle
-54;19;4154;idle
-52;8;4153;idle
-66;3;4157;idle
-53;10;4153;idle
-51;15;4156;idle
-57;17;4153;idle
-63;13;4146;idle
-51;7;4155;idle
-65;16;4147;idle
-61;16;4152;idle
-53;15;4151;idle
-51;8;4153;idle
-57;19;4151;idle
-58;20;4158;idle
-54;10;4153;idle
-57;10;4154;idle
-51;10;4152;idle
-57;8;4154;idle
-55;5;4152;idle
X-acc;Y-acc;Z-acc;label
-59;8;4156;idle
-57;15;4153;idle
-56;9;4155;idle
-61;11;4149;idle
-56;13;4155;idle
-55;18;4155;idle
-56;23;4158;idle
-59;19;4160;idle
-61;10;4154;idle
-61;12;4160;idle
-53;10;4155;idle
-58;10;4150;idle
-60;11;4156;idle
-53;18;4157;idle
-59;7;4157;idle
-50;11;4157;idle
-68;9;4154;idle
-54;16;4149;idle
-52;15;4156;idle
-60;12;4156;idle
-58;16;4156;idle
-60;8;4161;idle
-60;16;4161;idle
-62;2;4158;idle
-37;63;4030;idle
-41;-9;4211;idle
-64;3;4121;idle
-66;18;4173;idle
-60;2;4137;idle
-68;-3;4167;idle
-58;4;4225;idle
-61;54;4252;idle
-36;30;3917;idle
-43;-41;4233;idle
-88;1;4149;idle
-70;1;4182;idle
-52;2;4109;idle
-50;21;4197;idle
-42;52;4145;idle
-48;29;4177;idle
-53;-16;4132;idle
-66;-21;4153;idle
-80;20;4158;idle
-63;13;4141;idle
-34;5;4163;idle
-45;39;4151;idle
-70;23;4175;idle
-64;-17;4133;idle
-61;-14;4158;idle
-65;10;4148;idle
-54;19;4169;idle
-43;15;4151;idle
-48;25;4158;idle
-55;21;4160;idle
-71;1;4151;idle
-63;-3;4138;idle
-56;12;4150;idle
-50;21;4162;idle
-41;18;4160;idle
-54;14;4156;idle
-57;16;4148;idle
-58;-8;4151;idle
-59;2;4148;idle
-55;16;4159;idle
-64;32;4156;idle
-45;16;4163;idle
-59;10;4150;idle
-61;4;4154;idle
-54;4;4149;idle
-56;9;4155;idle
-57;12;4159;idle
-55;24;4161;idle
-61;14;4156;idle
-58;9;4157;idle
-61;0;4157;idle
-55;4;4143;idle
-61;6;4152;idle
-55;16;4158;idle
-45;24;4173;idle
-62;19;4151;idle
-50;6;4158;idle
-58;5;4149;idle
-68;12;4153;idle
-49;17;4154;idle
-45;16;4157;idle
-45;13;4154;idle
-55;14;4149;idle
-70;9;4158;idle
-65;2;4153;idle
-61;7;4152;idle
-54;19;4161;idle
-52;16;4149;idle
-49;17;4159;idle
-51;6;4150;idle
-55;-3;4148;idle
-61;5;4155;idle
-52;3;4156;idle
-53;4;4147;idle
-58;21;4153;idle
-57;12;4146;idle
X-acc;Y-acc;Z-acc;label
-46;3;4151;idle
-55;-1;4157;idle
-58;10;4160;idle
-49;18;4159;idle
-57;12;4162;idle
-54;16;4155;idle
-56;10;4156;idle
-55;3;4153;idle
-58;4;4157;idle
-53;9;4153;idle
-62;21;4157;idle
-43;16;4167;idle
-59;14;4155;idle
-59;11;4151;idle
-48;0;4154;idle
-53;2;4172;idle
-44;16;4148;idle
-44;16;4158;idle
-47;8;4158;idle
-55;8;4139;idle
-54;11;4151;idle
-60;9;4163;idle
-78;14;4200;idle
-59;-1;4207;idle
-39;2;4107;idle
-52;14;4195;idle
-52;-10;4148;idle
-66;-1;4145;idle
-60;16;4164;idle
-37;-5;4128;idle
-44;1;4130;idle
-39;24;4200;idle
-47;19;4158;idle
-59;28;4181;idle
-53;29;4151;idle
-46;-5;4148;idle
-26;-22;4104;idle
-37;-16;4155;idle
-96;30;4161;idle
-130;48;4221;idle
-53;52;4156;idle
-19;46;4180;idle
-27;9;4154;idle
-58;-7;4132;idle
-65;-19;4152;idle
-96;12;4130;idle
-78;23;4166;idle
-57;42;4169;idle
6;38;4166;idle
-28;30;4141;idle
-74;-1;4157;idle
-117;-4;4158;idle
-71;1;4167;idle
-37;25;4137;idle
-26;11;4165;idle
-47;24;4139;idle
-71;9;4145;idle
-79;14;4139;idle
-82;7;4140;idle
-50;18;4142;idle
-24;15;4169;idle
-21;23;4143;idle
-60;8;4151;idle
-100;11;4182;idle
-81;5;4156;idle
-47;6;4153;idle
-40;23;4147;idle
-49;33;4171;idle
-54;36;4151;idle
-69;27;4187;idle
-72;7;4127;idle
-50;-5;4149;idle
-34;-1;4124;idle
-27;11;4154;idle
-34;23;4147;idle
-77;25;4170;idle
-76;4;4146;idle
-59;-16;4143;idle
-50;-19;4170;idle
-38;-1;4151;idle
-40;34;4179;idle
-71;68;4156;idle
-71;38;4251;idle
-46;-10;4126;idle
-77;-14;4180;idle
-65;-18;4118;idle
-62;2;4170;idle
-69;54;4123;idle
-38;45;4224;idle
-40;63;4070;idle
-50;3;4244;idle
-65;-5;4087;idle
-76;-16;4146;idle
-54;6;4113;idle
-47;1;4174;idle
-36;35;4152;idle
-31;13;4162;idle
-47;-4;4160;idle
-66;-19;4168;idle
-61;6;4144;idle
X-acc;Y-acc;Z-acc;label
-58;19;4160;idle
-43;22;4137;idle
-38;10;4136;idle
-51;12;4153;idle
-51;4;4149;idle
-70;-21;4146;idle
-63;11;4165;idle
-42;19;4148;idle
-22;15;4147;idle
-52;15;4153;idle
-60;15;4152;idle
-66;-6;4155;idle
-56;-7;4148;idle
-62;14;4157;idle
-47;18;4150;idle
-45;17;4155;idle
-53;16;4158;idle
-76;16;4154;idle
-52;-2;4148;idle
-50;-11;4146;idle
-47;11;4162;idle
-65;24;4154;idle
-54;15;4156;idle
-52;6;4154;idle
-56;12;4156;idle
-66;-4;4142;idle
-60;2;4154;idle
-53;23;4153;idle
-53;19;4173;idle
-43;20;4154;idle
-51;6;4159;idle
-59;-5;4148;idle
-77;-4;4151;idle
-53;3;4151;idle
-45;21;4153;idle
-42;23;4157;idle
-46;12;4145;idle
-67;-2;4152;idle
-56;2;4150;idle
-58;5;4151;idle
-46;17;4147;idle
-52;22;4159;idle
-42;13;4154;idle
-49;1;4155;idle
-69;3;4142;idle
-53;3;4157;idle
-44;-14;4088;idle
-37;-12;4209;idle
-85;56;4176;idle
-67;49;4144;idle
-34;10;4144;idle
-51;-5;4139;idle
-53;-12;4117;idle
-72;-10;4174;idle
-62;22;4157;idle
-50;51;4173;idle
-55;48;4178;idle
-38;4;4166;idle
-53;6;4147;idle
-88;15;4160;idle
-80;-6;4156;idle
-56;-11;4138;idle
-47;27;4157;idle
-39;27;4144;idle
-55;20;4163;idle
-54;6;4144;idle
-61;1;4149;idle
-66;2;4144;idle
-65;13;4152;idle
-53;26;4148;idle
-65;30;4163;idle
-63;7;4144;idle
-63;6;4139;idle
-54;23;4152;idle
-51;-8;4144;idle
-50;12;4146;idle
-61;24;4153;idle
-51;30;4163;idle
-51;13;4149;idle
-46;6;4147;idle
-54;9;4149;idle
-47;13;4159;idle
-70;22;4158;idle
-60;11;4154;idle
-59;14;4164;idle
-68;13;4161;idle
-58;0;4146;idle
-63;11;4148;idle
-54;15;4167;idle
-54;21;4156;idle
-49;16;4159;idle
-50;21;4148;idle
-65;7;4157;idle
-76;9;4153;idle
-71;6;4152;idle
-51;13;4154;idle
-55;9;4156;idle
-60;11;4157;idle
-59;6;4157;idle
-50;14;4140;idle
X-acc;Y-acc;Z-acc;label
-48;7;4153;idle
-59;11;4147;idle
-56;16;4151;idle
-59;15;4154;idle
-72;23;4153;idle
-57;9;4155;idle
-63;16;4147;idle
-46;14;4149;idle
-58;15;4155;idle
-61;23;4152;idle
-65;15;4157;idle
-62;17;4153;idle
-60;5;4150;idle
-65;16;4154;idle
-53;15;4156;idle
-56;13;4158;idle
-55;12;4155;idle
-52;9;4157;idle
-58;21;4149;idle
-63;12;4151;idle
-65;12;4148;idle
-57;12;4156;idle
-58;17;4152;idle
-56;16;4159;idle
-58;8;4150;idle
-55;1;4144;idle
-63;10;4159;idle
-61;11;4152;idle
-61;14;4150;idle
-62;18;4154;idle
-56;15;4150;idle
-55;6;4148;idle
-55;6;4153;idle
-63;12;4156;idle
-61;15;4152;idle
-59;14;4161;idle
-50;14;4152;idle
-56;23;4158;idle
-66;19;4156;idle
-61;11;4152;idle
-53;6;4143;idle
-53;22;4149;idle
-55;17;4160;idle
-59;9;4153;idle
-49;13;4145;idle
-64;20;4154;idle
-52;13;4155;idle
-49;12;4148;idle
-62;15;4156;idle
-59;15;4157;idle
-59;8;4152;idle
-52;17;4158;idle
-60;17;4150;idle
-66;11;4152;idle
-52;17;4153;idle
-58;17;4134;idle
-73;11;4173;idle
-77;13;4184;idle
-58;33;4155;idle
-69;26;4163;idle
-64;13;4153;idle
-48;-5;4153;idle
-55;11;4213;idle
-52;-7;4133;idle
-47;4;4163;idle
-59;14;4163;idle
-45;28;4153;idle
-61;13;4158;idle
-66;4;4154;idle
-66;1;4142;idle
-60;1;4145;idle
-44;13;4151;idle
-62;18;4160;idle
-60;24;4158;idle
-62;11;4152;idle
-52;7;4153;idle
-59;14;4147;idle
-65;14;4150;idle
-61;17;4152;idle
